createdAt,action,collection,operator,itemId,payload
"2025-07-08T14:41:16.615Z","CREATE","vendors","管理员","686d2e0cff06aecc9995cd51","{""chineseName"":""华为"",""englishName"":""23123kk""}"
"2025-07-08T14:48:03.338Z","CREATE","vendors","管理员","686d2fa36a4ee4029b76e42a","{""chineseName"":""华为"",""englishName"":""23123kkttt""}"
"2025-07-08T14:49:30.192Z","CREATE","vendors","管理员","686d2ffa6a4ee4029b76e440","{""chineseName"":""华为"",""englishName"":""23123kkttt""}"
"2025-07-08T14:55:45.058Z","CREATE","vendors","管理员","686d31714a892c2e78ce6691","{""chineseName"":""华为"",""englishName"":""23123kktttdsfdsfd""}"
"2025-07-08T15:03:02.640Z","CREATE","vendors","管理员","686d33266e109d6ad4cfda7e","{""chineseName"":""华为aaaaaaa"",""englishName"":""2234sdw""}"
"2025-07-11T09:12:30.091Z","CREATE","vendors","管理员","6870d57e08c1f876fe516a11","{""chineseName"":""华为"",""englishName"":""2234sdw""}"
"2025-07-11T09:22:10.153Z","CREATE","vendors","管理员","6870d7c2497f1692e0989149","{""chineseName"":""华为"",""englishName"":""2234sdw""}"
"2025-07-11T09:27:11.607Z","CREATE","vendors","管理员","6870d8ef22eceffc5c17ee0c","{""chineseName"":""华为"",""englishName"":""2234sdw11e""}"
"2025-07-11T09:31:32.064Z","CREATE","vendors","管理员","6870d9f4ca5762af745bd579","{""chineseName"":""测试用"",""englishName"":""cscscs""}"
"2025-07-11T09:32:13.057Z","CREATE","vendors","管理员","6870da1dca5762af745bd58a","{""chineseName"":""Log——test"",""englishName"":""Log——test""}"
"2025-07-11T14:50:41.852Z","CREATE","vendors","Yunkai kou","687124c18a214b375a8c8b0a","{""chineseName"":""华为"",""englishName"":""Log——test""}"
"2025-07-14T09:40:19.255Z","UPDATE","vendors","CHINAUNICOM_ADMIN","686b895d512117643cf4d5d7","{""chineseName"":""华为"",""englishName"":""testtttttt_1011www""}"
"2025-07-15T08:33:18.997Z","DELETE","quotations","管理员","6876108a4e606ce2746ea296","{""productName"":""smartphone"",""supplier"":""TD SYNNEX""}"
"2025-07-15T09:00:10.631Z","CREATE","vendors","CHINAUNICOM_ADMIN","6876189abf5517c27ad4c1bc","{""chineseName"":""testtttttt_1011www"",""englishName"":""testtttttt_1011www""}"
"2025-07-15T09:05:23.279Z","CREATE","quotations","unknown","687619d39deeb99fddd25f56","{""productName"":""test123221"",""supplier"":""test""}"
"2025-07-15T09:09:52.290Z","CREATE","quotations","管理员","68761ae0dc049fb117651661","{""productName"":""ceshi1"",""supplier"":""test""}"
"2025-07-15T10:28:06.365Z","EXPORT","logs","system","","{""month"":""2025-06""}"
"2025-07-15T10:29:00.398Z","EXPORT","logs","system","","{""month"":""2025-06""}"
"2025-07-15T10:32:24.667Z","EXPORT","logs","system","","{""label"":""2025-07"",""count"":40}"
